Number,Journal tittle ,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online
463,Research Review of the Institute of African Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
464,Studies in Gender and Development in Africa,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
465,West African Journal of Applied Ecology,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
466,African Journal of Accounting and Social Science Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
467,African Journal of Eco0mic Review,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
468,African Journal of Finance and Management,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
469,Dar Es Salaam Medical Students' Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
470,East African Health Research Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
471,East African Journal of Education and Social Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
472,East African Journal of Public Health,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
473,Huria: Journal of the Open University of Tanzania,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
474,IMTU Medical Journal,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
475,Jarida la Chama cha Lugha na Fasihi ya Kiswahili Tanzania (CHALUFAKITA),African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
476,Journal of Building and Land Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
477,Journal of Sociology and Development,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
478,Kioo cha Lugha,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
479,Kiswahili,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
480,Tanzania Dental Journal,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
481,Tanzania Journal of Agricultural Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
482,Tanzania Journal of Development Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
483,Tanzania Journal of Engineering and Tech0logy,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
484,Tanzania Journal of Forestry and Nature Conservation,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
485,Tanzania Journal of Health Research,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
486,Tanzania Journal of Science,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
487,Tanzania Medical Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
488,Tanzania Veterinary Journal,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
489,University of Dar es Salaam Library Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
490,Western Indian Ocean Journal of Marine Science,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
491,African Journal of Gastroenterology and Hepatology,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
492,African Journal of Urology,African Journal Online (AJOL),0,1,0,1,1,1,1,1,0,1
493,Alexandria Journal of Medicine,African Journal Online (AJOL),1,0,0,1,1,1,1,1,0,1
494,Annals of Pediatric Surgery,African Journal Online (AJOL),0,1,0,1,1,1,1,1,0,1
495,Egyptian Journal of Biochemistry and Molecular Biology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
496,Egyptian Journal of Biology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
497,Egyptian Journal of Biomedical Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
498,Egyptian Journal of Biotech0logy,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
499,Egyptian Journal of Hospital Medicine,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
500,Egyptian Journal of Medical Human Genetics,African Journal Online (AJOL),1,1,1,1,1,1,1,1,0,1
501,Egyptian Journal of Medical Laboratory Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
502,Egyptian Journal of Natural History,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
503,Egyptian Journal of Pediatric Allergy and Immu0logy (The),African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
504,Evidence-Based Nursing Research,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
505,Mansoura Veterinary Medical Journal,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
506,Microbes and Infectious Diseases,African Journal Online (AJOL),1,0,0,1,1,1,1,1,1,1
507,New Egyptian Journal of Microbiology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
508,Scientific Medical Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
509,Zagazig Journal of Occupational Health and Safety,African Journal Online (AJOL),0,0,0,0,0,0,1,1,1,1
